종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"260870","SK시그넷","KONEX","일반기업부","21700","0","0.00","21700","21700","21400","112","2421450","132982157000","6128210"
"361610","SK아이이테크놀로지","KOSPI",,"59100","100","0.17","59000","59200","58700","14629","861951900","4213687687200","71297592"
"100090","SK오션플랜트","KOSPI",,"13750","130","0.95","13690","13820","13570","23990","328621440","813939060000","59195568"
"03473K","SK우","KOSPI",,"132300","200","0.15","131600","132300","131600","18","2375600","74899660500","566135"
"096770","SK이노베이션","KOSPI",,"113200","200","0.18","112900","113700","112500","35772","4047768000","10837268788000","95735590"
"096775","SK이노베이션우","KOSPI",,"77600","-300","-0.39","78200","78200","77600","163","12701100","96877857600","1248426"
"475150","SK이터닉스","KOSPI",,"17410","-640","-3.55","18050","18050","17370","229664","4044545080","445002559700","25560170"
"001510","SK증권","KOSPI",,"600","1","0.17","601","601","599","99928","59956366","283554102600","472590171"
"001515","SK증권우","KOSPI",,"2150","10","0.47","2150","2150","2150","24","51600","8411905100","3912514"
"285130","SK케미칼","KOSPI",,"59300","200","0.34","58900","59400","58700","2157","127427900","1023149331900","17253783"
"28513K","SK케미칼우","KOSPI",,"27350","50","0.18","27150","27400","27150","43","1176200","57856983150","2115429"
"017670","SK텔레콤","KOSPI",,"51300","0","0.00","51400","51500","51300","53798","2764996000","11018729718900","214790053"
"000660","SK하이닉스","KOSPI",,"178300","300","0.17","179000","179400","177700","452497","80734801800","129802821679500","728002365"
"048550","SM C&C","KOSDAQ","중견기업부","1999","-26","-1.28","1992","2025","1987","246451","493599764","193316533380","96706620"
"063440","SM Life Design","KOSDAQ","중견기업부","1705","-3","-0.18","1700","1708","1693","23343","39703076","78479707570","46029154"
"003570","SNT다이내믹스","KOSPI",,"15990","-10","-0.06","16000","16050","15990","2798","44842650","531710625030","33252697"
"064960","SNT모티브","KOSPI",,"46400","100","0.22","46300","46500","46300","4359","202055650","678513510400","14623136"
"100840","SNT에너지","KOSPI",,"11820","-100","-0.84","12100","12200","11760","49164","586781510","88729324020","7506711"
"036530","SNT홀딩스","KOSPI",,"24950","400","1.63","24600","25050","24450","7859","194920250","406781955700","16303886"
"067160","SOOP","KOSDAQ","우량기업부","112000","-800","-0.71","111900","112800","111200","5177","579992000","1287413904000","11494767"
"005610","SPC삼립","KOSPI",,"58800","100","0.17","58900","58900","58700","182","10700300","507385729200","8629009"
"011810","STX","KOSPI",,"8110","70","0.87","8100","8250","8100","58554","478012100","251555387970","31017927"
"465770","STX그린로지스","KOSPI",,"8440","80","0.96","8360","8470","8340","4840","40577090","60523510080","7171032"
"077970","STX엔진","KOSPI",,"13860","270","1.99","13690","13930","13630","13944","191965090","318903409440","23008904"
"071970","STX중공업","KOSPI",,"16140","90","0.56","16100","16290","16020","41850","675354070","460840077660","28552669"
"002820","SUN&L","KOSPI",,"2620","0","0.00","2580","2620","2580","164","426430","33032931180","12607989"
"289080","SV인베스트먼트","KOSDAQ","중견기업부","2050","-15","-0.73","2060","2070","2050","30945","63601930","109129700000","53234000"
"084870","TBH글로벌","KOSPI",,"1837","17","0.93","1820","1837","1820","10291","18844491","38313976503","20856819"
"002710","TCC스틸","KOSPI",,"51600","-100","-0.19","52100","52200","51100","13492","695881400","1352626765200","26213697"
"089230","THE E&M","KOSDAQ","중견기업부","2010","11","0.55","2010","2020","1999","1557","3119748","40826639610","20311761"
"161570","THE MIDONG","KOSDAQ","투자주의환기종목(소속부없음)","366","0","0.00","0","0","0","0","0","7721265564","21096354"
"032540","TJ미디어","KOSDAQ","우량기업부","5790","-30","-0.52","5820","5830","5760","1603","9287640","80664016110","13931609"
"022220","TKG애강","KOSDAQ","우량기업부","1219","-11","-0.89","1232","1232","1218","7844","9588243","63137591801","51794579"
"069260","TKG휴켐스","KOSPI",,"19750","80","0.41","19750","19760","19670","3380","66681540","807352113000","40878588"
"007980","TP","KOSPI",,"1697","-1","-0.06","1708","1708","1694","22923","39018773","86844195610","51175130"
"048770","TPC","KOSDAQ","벤처기업부","3500","15","0.43","3485","3510","3460","5562","19407365","54942968500","15697991"
"246690","TS인베스트먼트","KOSDAQ","중견기업부","1299","0","0.00","1300","1300","1299","2825","3670936","53879742738","41477862"
"317240","TS트릴리온","KOSDAQ","벤처기업부","356","7","2.01","351","357","349","155698","55031866","38177768232","107240922"
"002900","TYM","KOSPI",,"5050","55","1.10","5020","5060","5010","22788","114649520","227507327800","45050956"
"024070","WISCOM","KOSPI",,"2450","-5","-0.20","2485","2485","2440","34","83385","37549773100","15326438"
"057030","YBM넷","KOSDAQ","중견기업부","4170","-5","-0.12","4175","4205","4165","11959","50046290","68023946490","16312697"
"037270","YG PLUS","KOSPI",,"4060","25","0.62","4035","4070","4035","6837","27678900","257523404600","63429410"
"040300","YTN","KOSDAQ","우량기업부","4055","-5","-0.12","4060","4065","4030","4564","18473370","170310000000","42000000"
"051390","YW","KOSDAQ","벤처기업부","3785","10","0.26","3775","3825","3775","6450","24418265","42980067880","11355368"
"052220","iMBC","KOSDAQ","중견기업부","3115","-5","-0.16","3120","3130","3095","5165","16129340","71645000000","23000000"
"079940","가비아","KOSDAQ","우량기업부","16990","-160","-0.93","17230","17300","16920","16407","280793530","229971271160","13535684"
"078890","가온그룹","KOSDAQ","중견기업부","5950","0","0.00","5990","5990","5920","17762","105652910","103590434150","17410157"
"000500","가온전선","KOSPI",,"51200","400","0.79","51400","53200","50300","250671","12954510400","376726835200","7357946"
"399720","가온칩스","KOSDAQ","벤처기업부","84200","-2800","-3.22","86600","86700","83800","77233","6543578500","967316544000","11488320"
"296520","가이아코퍼레이션","KONEX","일반기업부","2135","0","0.00","0","0","0","0","0","9964062080","4667008"
"036620","감성코퍼레이션","KOSDAQ","우량기업부","3550","-50","-1.39","3575","3595","3530","59818","212684930","322144366600","90744892"
"000860","강남제비스코","KOSPI",,"26650","50","0.19","26900","26900","26400","1160","30789850","173225000000","6500000"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","2530","45","1.81","2525","2545","2480","38399","96391475","141522950250","55937925"
"035250","강원랜드","KOSPI",,"15600","110","0.71","15650","15670","15510","159368","2486871370","3337471800000","213940500"
"114190","강원에너지","KOSDAQ","우량기업부","17450","20","0.11","17380","17540","17160","4892","84819790","455847013100","26123038"
"094480","갤럭시아머니트리","KOSDAQ","중견기업부","7290","10","0.14","7320","7320","7230","6160","44843860","285985519020","39229838"
"011420","갤럭시아에스엠","KOSPI",,"2230","15","0.68","2195","2240","2195","22529","50026525","61435706120","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","3300","-5","-0.15","3325","3325","3240","7689","25422940","89032693200","26979604"
"053950","경남제약","KOSDAQ","중견기업부","1231","3","0.24","1228","1235","1227","19751","24310717","43815477862","35593402"
